ANO,MES,UF,QTDE_DENUNCIAS
2013,JUL,PE,66
2013,AGO,PE,74
2013,SET,PE,96
2013,OUT,PE,67
2013,NOV,PE,89
2013,DEZ,PE,73
2013,JAN,PI,38
2013,FEV,PI,35
2013,MAR,PI,42
2013,ABR,PI,45
2013,MAI,PI,46
2013,JUN,PI,33
2013,JUL,PI,43
2013,AGO,PI,42
2013,SET,PI,36
2013,OUT,PI,27
2013,NOV,PI,37
2013,DEZ,PI,18
2013,JAN,PR,116
2013,FEV,PR,112
2013,MAR,PR,122
2013,ABR,PR,126
2013,MAI,PR,160
2013,JUN,PR,105
2013,JUL,PR,118
2013,AGO,PR,110
2013,SET,PR,97
2013,OUT,PR,95
2013,NOV,PR,93
2013,DEZ,PR,88
2013,JAN,RJ,246
2013,FEV,RJ,285
2013,MAR,RJ,314
2013,ABR,RJ,312
2013,MAI,RJ,268
2013,JUN,RJ,221
2013,JUL,RJ,200
2013,AGO,RJ,186
2013,SET,RJ,180
2013,OUT,RJ,219
2013,NOV,RJ,202
2013,DEZ,RJ,147
2013,JAN,RN,41
2013,FEV,RN,64
2013,MAR,RN,63
2013,ABR,RN,43
2013,MAI,RN,70
2013,JUN,RN,59
2013,JUL,RN,35
2013,AGO,RN,54
2013,SET,RN,47
2013,OUT,RN,42
2013,NOV,RN,45
2013,DEZ,RN,32
2013,JAN,RO,32
2013,FEV,RO,45
2013,MAR,RO,37
2013,ABR,RO,34
2013,MAI,RO,42
2013,JUN,RO,26
2013,JUL,RO,34
2013,AGO,RO,35
2013,SET,RO,25
2013,OUT,RO,13
2013,NOV,RO,10
2013,DEZ,RO,16
2013,JAN,RR,2
2013,FEV,RR,0
2013,MAR,RR,6
2013,ABR,RR,4
2013,MAI,RR,8
2013,JUN,RR,2
2013,JUL,RR,2
2013,AGO,RR,1
2013,SET,RR,4
2013,OUT,RR,1
2013,NOV,RR,1
2013,DEZ,RR,0
2013,JAN,RS,117
2013,FEV,RS,160
2013,MAR,RS,146
2013,ABR,RS,105
2013,MAI,RS,131
2013,JUN,RS,108
2013,JUL,RS,101
2013,AGO,RS,98
2013,SET,RS,96
2013,OUT,RS,116
2013,NOV,RS,100
2013,DEZ,RS,111
2013,JAN,SC,81
2013,FEV,SC,79
2013,MAR,SC,78
2013,ABR,SC,82
2013,MAI,SC,105
2013,JUN,SC,102
2013,JUL,SC,106
2013,AGO,SC,88
2013,SET,SC,123
2013,OUT,SC,86
2013,NOV,SC,97
2013,DEZ,SC,57
2013,JAN,SE,28
2013,FEV,SE,36
2013,MAR,SE,27
2013,ABR,SE,31
2013,MAI,SE,24
2013,JUN,SE,26
2013,JUL,SE,19
2013,AGO,SE,16
2013,SET,SE,18
2013,OUT,SE,16
2013,NOV,SE,20
2013,DEZ,SE,21
2013,JAN,SP,268
2013,FEV,SP,311
2013,MAR,SP,309
2013,ABR,SP,325
2013,MAI,SP,312
2013,JUN,SP,253
2013,JUL,SP,295
2013,AGO,SP,272
2013,SET,SP,227
2013,OUT,SP,251
2013,NOV,SP,274
2013,DEZ,SP,205
2013,JAN,TO,15
2013,FEV,TO,11
2013,MAR,TO,14
2013,ABR,TO,14
2013,MAI,TO,14
2013,JUN,TO,13
2013,JUL,TO,6
2013,AGO,TO,12
2013,SET,TO,9
2013,OUT,TO,9
2013,NOV,TO,5
2013,DEZ,TO,8
2013,JAN,NA,10
2013,FEV,NA,5
2013,MAR,NA,16
2013,ABR,NA,15
2013,MAI,NA,6
2013,JUN,NA,0
2013,JUL,NA,5
2013,AGO,NA,4
2013,SET,NA,7
2013,OUT,NA,10
2013,NOV,NA,7
2013,DEZ,NA,6
2013,JAN,EX,0
2013,FEV,EX,0
2013,MAR,EX,0
2013,ABR,EX,0
2013,MAI,EX,0
2013,JUN,EX,0
2013,JUL,EX,0
2013,AGO,EX,0
2013,SET,EX,0
2013,OUT,EX,0
2013,NOV,EX,0
2013,DEZ,EX,0
2014,JAN,AC,10
2014,FEV,AC,5
2014,MAR,AC,11
2014,ABR,AC,8
2014,MAI,AC,18
2014,JUN,AC,12
2014,JUL,AC,6
2014,AGO,AC,6
2014,SET,AC,7
2014,OUT,AC,6
2014,NOV,AC,3
2014,DEZ,AC,3
2014,JAN,AL,19
2014,FEV,AL,18
2014,MAR,AL,28
2014,ABR,AL,33
2014,MAI,AL,33
2014,JUN,AL,38
2014,JUL,AL,36
2014,AGO,AL,23
2014,SET,AL,14
2014,OUT,AL,16
2014,NOV,AL,20
2014,DEZ,AL,19
2014,JAN,AM,44
2014,FEV,AM,24
2014,MAR,AM,39
2014,ABR,AM,46
2014,MAI,AM,59
2014,JUN,AM,99
2014,JUL,AM,99
2014,AGO,AM,64
2014,SET,AM,36
2014,OUT,AM,36
2014,NOV,AM,25
2014,DEZ,AM,36
2014,JAN,AP,3
2014,FEV,AP,3
2014,MAR,AP,2
2014,ABR,AP,4
2014,MAI,AP,5
2014,JUN,AP,7
2014,JUL,AP,8
2014,AGO,AP,3
2014,SET,AP,4
2014,OUT,AP,2
2014,NOV,AP,2
2014,DEZ,AP,4
2014,JAN,BA,156
2014,FEV,BA,157
2014,MAR,BA,181
2014,ABR,BA,162
2014,MAI,BA,180
2014,JUN,BA,179
2014,JUL,BA,187
2014,AGO,BA,107
2014,SET,BA,96
2014,OUT,BA,108
2014,NOV,BA,87
2014,DEZ,BA,79
2014,JAN,CE,61
2014,FEV,CE,41
2014,MAR,CE,58
2014,ABR,CE,65
2014,MAI,CE,79
2014,JUN,CE,105
2014,JUL,CE,130
2014,AGO,CE,65
2014,SET,CE,42
2014,OUT,CE,35
2014,NOV,CE,30
2014,DEZ,CE,38
2014,JAN,DF,50
2014,FEV,DF,32
2014,MAR,DF,33
2014,ABR,DF,46
2014,MAI,DF,54
2014,JUN,DF,74
2014,JUL,DF,56
2014,AGO,DF,31
2014,SET,DF,39
2014,OUT,DF,31
2014,NOV,DF,19
2014,DEZ,DF,22
2014,JAN,ES,31
2014,FEV,ES,27
2014,MAR,ES,25
2014,ABR,ES,39
2014,MAI,ES,21
2014,JUN,ES,35
2014,JUL,ES,39
2014,AGO,ES,23
2014,SET,ES,22
2014,OUT,ES,17
2014,NOV,ES,28
2014,DEZ,ES,18
2014,JAN,GO,60
2014,FEV,GO,51
2014,MAR,GO,63
2014,ABR,GO,59
2014,MAI,GO,79
2014,JUN,GO,117
2014,JUL,GO,97
2014,AGO,GO,66
2014,SET,GO,69
2014,OUT,GO,37
2014,NOV,GO,40
2014,DEZ,GO,35
2014,JAN,MA,67
